date,item,quantity,cw_wtd_avg
2024-09-09,"Large Brown, Pasture Raised",12,4.99
2024-09-09,"Large Brown, USDA Organic, Pasture Raised",12,6.2
2024-09-20,Large Brown Pasture Raised,12,5.62
2024-09-20,Large Brown USDA Organic Pasture Raised,12,5.85
2024-08-31,Large Brown Pasture Raised,12,6.3
2024-08-31,Large Brown USDA Organic Pasture Raised,12,7.3
2024-09-16,Large Brown Pasture Raised,12,5.62
2024-09-16,Organic Large Brown Pasture Raised,12,5.85
2024-09-27,Large Brown Pasture Raised,12,5.62
2024-09-27,Large Brown USDA Organic Pasture Raised,12,6.01
2024-09-27,Medium Brown USDA Organic Pasture Raised,12,8.99
2024-09-02,Large Brown Pasture Raised,12,6.3
2024-09-02,Large Brown USDA Organic Pasture Raised,12,7.3
2024-09-09,Large Brown Pasture Raised,12,4.99
2024-09-09,Large Brown USDA Organic Pasture Raised,12,6.2
2024-10-11,Extra Large Brown Pasture Raised,12,8.99
2024-10-11,Extra Large Brown USDA Organic Pasture Raised,12,8.99
2024-10-11,Large Brown Pasture Raised,12,5.66
2024-10-11,Large Brown USDA Organic Pasture Raised,12,5.82
2024-10-25,Extra Large Brown USDA Organic Pasture Raised,12,8.99
2024-10-25,Large Brown Pasture Raised,12,5.96
2024-10-25,Large Brown USDA Organic Pasture Raised,12,8.03
2024-11-15,Large Brown Pasture Raised,12,5.98
2024-11-15,Large Brown USDA Organic Pasture Raised,12,5.57
2024-11-08,Large Brown Pasture Raised,12,5.84
2024-11-01,Extra Large Brown USDA Organic Pasture Raised,12,8.99
2024-11-01,Large Brown Pasture Raised,12,6.49
2024-11-01,Large Brown USDA Organic Pasture Raised,12,8.22
2024-10-18,Extra Large Brown Pasture Raised,12,8.99
2024-10-18,Extra Large Brown USDA Organic Pasture Raised,12,8.99
2024-10-18,Large Brown Pasture Raised,12,5.22
2024-10-18,Large Brown USDA Organic Pasture Raised,12,8.03
2024-11-18,Large Brown Pasture Raised,12,5.32
2024-11-18,Large Brown USDA Organic Pasture Raised,12,6.0
2024-10-04,Extra Large Brown Pasture Raised,12,8.99
2024-10-04,Extra Large Brown USDA Organic Pasture Raised,12,8.99
2024-10-04,Large Brown Pasture Raised,12,6.58
2024-10-04,Large Brown USDA Organic Pasture Raised,12,6.01
2024-10-04,Medium Brown USDA Organic Pasture Raised,12,8.99
2024-11-29,Large Brown Pasture Raised,12,5.2
2024-11-29,USDA Organic Large Brown Pasture Raised,12,6.0
2024-12-13,Large Brown Pasture Raised,12,6.17
2024-12-13,Large Brown USDA Organic Pasture Raised,12,5.28
2024-12-06,Pasture Raised Large Brown,12,7.8
2024-12-06,USDA Organic Pasture Raised Large Brown,12,7.99
2024-12-20,Large Brown Pasture Raised,12,5.1
2024-12-20,Large Brown USDA Organic Pasture Raised,12,7.69
2025-01-03,Large Brown Pasture Raised,12,6.7
2025-01-03,Large Brown USDA Organic Pasture Raised,12,8.63
2025-01-10,Large Brown Pasture Raised,12,7.99
2025-01-10,Large Brown USDA Organic Pasture Raised,12,9.69
2024-12-23,Large Brown Pasture Raised,12,5.26
2024-12-23,Large Brown USDA Organic Pasture Raised,12,8.34
2025-01-17,Large Brown Pasture Raised,12,7.99
2025-02-14,Large Brown Pasture Raised,12,7.99
2025-02-14,Large Brown USDA Organic Pasture Raised,12,9.69
2025-01-31,Large Brown Pasture Raised,12,7.99
2025-01-31,Large Brown Organic Pasture Raised,12,9.69
2025-01-24,Large Brown Pasture Raised,12,7.99
2025-01-24,Large Brown Organic Pasture Raised,12,9.69
2025-02-07,Large Brown Pasture Raised,12,7.99
2025-02-07,Large Brown USDA Organic Pasture Raised,12,9.69
2025-02-21,Large Brown Pasture Raised,12,7.58
2025-02-21,Large Brown USDA Organic Pasture Raised,12,9.69
2025-03-14,Pasture Raised Large Brown,12,7.99
2025-03-14,USDA Organic Pasture Raised Large Brown,12,9.69
2025-03-07,Large Brown Pasture Raised,12,7.99
2025-03-07,Large Brown Organic Pasture Raised,12,9.69
2025-02-28,Large Brown Pasture Raised,12,7.99
2025-02-28,Large Brown Organic Pasture Raised,12,9.69
2025-03-21,Large Brown Pasture Raised,12,7.99
2025-03-21,Large Brown USDA Organic Pasture Raised,12,9.69
2025-03-28,Large Brown Pasture Raised,12,7.99
2025-04-04,Large Brown Pasture Raised,12,7.99
2025-04-18,Large Brown Pasture Raised,12,7.99
2025-04-18,Large Brown USDA Organic Pasture Raised,12,9.69
2025-04-25,Large Brown Pasture Raised,12,7.99
2025-04-25,Large Brown USDA Organic Pasture Raised,12,9.69
2025-05-02,Large Brown Pasture Raised,12,7.99
2025-05-02,Large Brown USDA Organic Pasture Raised,12,9.69
2025-05-09,Large Brown Pasture Raised,12,7.99
2025-05-09,USDA Organic Large Brown Pasture Raised,12,9.69
2025-05-16,Large Brown Pasture Raised,12,7.99
2025-05-16,Large Brown USDA Organic Pasture Raised,12,9.69
2025-05-23,Large Brown Pasture Raised,12,8.89
2025-05-23,Large Brown USDA Organic Pasture Raised,12,9.69
2025-06-06,Large Brown Pasture Raised,12,7.99
2025-06-06,Large Brown USDA Organic Pasture Raised,12,9.37
2025-04-11,Large Brown Pasture Raised,12,7.99
2025-04-11,Large Brown USDA Organic Pasture Raised,12,9.69
2025-06-13,Large Brown Pasture Raised,12,7.99
2025-06-13,Large Brown USDA Organic Pasture Raised,12,9.69
2025-06-20,Large Brown Pasture Raised,12,7.99
2025-06-20,Large Brown USDA Organic Pasture Raised,12,9.69
2025-05-30,Large Brown Pasture Raised,12,5.2
2025-05-30,Large Brown USDA Organic Pasture Raised,12,6.85
2025-06-27,Large Brown Pasture Raised,12,5.2
2025-06-27,Large Brown Organic Pasture Raised,12,9.69
2025-07-18,Large Brown Pasture Raised,12,6.35
2025-07-18,Large Brown Organic Pasture Raised,12,7.99
2025-07-04,Extra Large Brown Pasture Raised,12,7.64
2025-07-04,Large Brown Pasture Raised,12,6.2
2025-07-04,Large Brown USDA Organic Pasture Raised,12,9.89
2025-07-25,Large Brown Pasture Raised,12,6.99
2025-07-25,Large Brown Organic Pasture Raised,12,9.57
2025-08-01,Extra Large Brown USDA Organic Pasture Raised,12,9.75
2025-08-01,Large Brown Pasture Raised,12,7.47
2025-08-01,Large Brown USDA Organic Pasture Raised,12,7.95
2025-08-01,Large White Pasture Raised,12,6.99
2025-08-15,Extra Large Brown Organic Pasture Raised,12,8.49
2025-08-15,Large Brown Pasture Raised,12,8.65
2025-08-15,Large Brown Organic Pasture Raised,12,8.84
2025-08-22,Large Brown Pasture Raised,12,7.53
2025-08-22,Large Brown USDA Organic Pasture Raised,12,6.99
2025-08-22,Large Brown Pasture Raised,18,8.99
2025-08-29,Pasture Raised Large Brown,12,7.5
2025-08-29,USDA Organic Pasture Raised Large Brown,12,6.82
2025-08-29,Pasture Raised Large Brown,18,5.98
2025-07-11,Extra Large Brown Pasture Raised,12,7.64
2025-07-11,Large Brown Pasture Raised,12,6.71
2025-08-08,Extra Large Brown USDA Organic Pasture Raised,12,8.49
2025-08-08,Large Brown Pasture Raised,12,7.43
2025-08-08,Large Brown USDA Organic Pasture Raised,12,7.96
2025-08-08,Large White Pasture Raised,12,6.99
2025-09-05,Large Brown Pasture Raised,12,6.64
2025-09-05,Large Brown USDA Organic Pasture Raised,12,9.62
2025-09-05,Large Brown Pasture Raised,18,5.98
2025-09-12,Large Brown Pasture Raised,12,6.64
2025-09-12,Large Brown USDA Organic Pasture Raised,12,9.15
2025-10-03,Extra Large Brown Pasture Raised,12,8.99
2025-10-03,Extra Large Brown Organic Pasture Raised,12,9.49
2025-10-03,Large Brown Pasture Raised,12,6.72
2025-10-03,Large Brown Organic Pasture Raised,12,8.35
2025-10-03,Large Brown Pasture Raised,18,10.99
2025-10-03,Large Brown Organic Pasture Raised,18,12.99
2025-09-26,Extra Large Brown Pasture Raised,12,6.99
2025-09-26,Extra Large Brown USDA Organic Pasture Raised,12,9.49
2025-09-26,Large Brown Pasture Raised,12,6.44
2025-09-26,Large Brown USDA Organic Pasture Raised,12,7.99
2025-09-26,Large Brown Pasture Raised,18,10.99
2025-09-26,Large Brown USDA Organic Pasture Raised,18,5.77
2025-09-26,Medium Brown USDA Organic Pasture Raised,12,8.99
